Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.21/cv2/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.21/cv2/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.22/cv2.0/cv2.0.0/conv/Conv,Conv,236339200,4.83%,1786112,0.68%,36928,1.17%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.0/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.0/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.1/conv/Conv,Conv,236339200,4.83%,1786112,0.68%,36928,1.17%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.1/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.1/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.22/cv2.0/cv2.0.2/Conv,Conv,26624000,0.54%,1655040,0.63%,4160,0.13%,1x64x80x80,1x64x80x80
/model.22/cv3.0/cv3.0.0/conv/Conv,Conv,295424000,6.04%,2232640,0.85%,46160,1.46%,1x64x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.0/act/Sigmoid,Sigmoid,16384000,0.33%,2048000,0.78%,0,0.00%,1x80x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.0/act/Mul,Mul,512000,0.01%,2048000,0.78%,0,0.00%,1x80x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.1/conv/Conv,Conv,369152000,7.55%,2278720,0.87%,57680,1.83%,1x80x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.1/act/Sigmoid,Sigmoid,16384000,0.33%,2048000,0.78%,0,0.00%,1x80x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.1/act/Mul,Mul,512000,0.01%,2048000,0.78%,0,0.00%,1x80x80x80,1x80x80x80
/model.22/cv3.0/cv3.0.2/Conv,Conv,41472000,0.85%,2073920,0.79%,6480,0.21%,1x80x80x80,1x80x80x80
/model.22/Concat,Concat,0,0.00%,3686400,1.41%,0,0.00%,1x64x80x80,1x144x80x80
/model.22/cv2.1/cv2.1.0/conv/Conv,Conv,118067200,2.41%,704768,0.27%,73792,2.34%,1x128x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.0/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.0/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.1/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.1/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.1/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.22/cv2.1/cv2.1.2/Conv,Conv,6656000,0.14%,426240,0.16%,4160,0.13%,1x64x40x40,1x64x40x40
/model.22/cv3.1/cv3.1.0/conv/Conv,Conv,147584000,3.02%,880960,0.34%,92240,2.93%,1x128x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.0/act/Sigmoid,Sigmoid,4096000,0.08%,512000,0.20%,0,0.00%,1x80x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.0/act/Mul,Mul,128000,0.00%,512000,0.20%,0,0.00%,1x80x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.1/conv/Conv,Conv,92288000,1.89%,742720,0.28%,57680,1.83%,1x80x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.1/act/Sigmoid,Sigmoid,4096000,0.08%,512000,0.20%,0,0.00%,1x80x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.1/act/Mul,Mul,128000,0.00%,512000,0.20%,0,0.00%,1x80x40x40,1x80x40x40
/model.22/cv3.1/cv3.1.2/Conv,Conv,10368000,0.21%,537920,0.21%,6480,0.21%,1x80x40x40,1x80x40x40
/model.22/Concat_1,Concat,0,0.00%,921600,0.35%,0,0.00%,1x64x40x40,1x144x40x40
/model.22/cv2.2/cv2.2.0/conv/Conv,Conv,59008000,1.21%,692480,0.26%,147520,4.68%,1x256x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.0/act/Sigmoid,Sigmoid,819200,0.02%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.0/act/Mul,Mul,25600,0.00%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.1/conv/Conv,Conv,14771200,0.30%,250112,0.10%,36928,1.17%,1x64x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.1/act/Sigmoid,Sigmoid,819200,0.02%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.1/act/Mul,Mul,25600,0.00%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.22/cv2.2/cv2.2.2/Conv,Conv,1664000,0.03%,119040,0.05%,4160,0.13%,1x64x20x20,1x64x20x20
/model.22/cv3.2/cv3.2.0/conv/Conv,Conv,73760000,1.51%,865600,0.33%,184400,5.85%,1x256x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.0/act/Sigmoid,Sigmoid,1024000,0.02%,128000,0.05%,0,0.00%,1x80x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.0/act/Mul,Mul,32000,0.00%,128000,0.05%,0,0.00%,1x80x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.1/conv/Conv,Conv,23072000,0.47%,358720,0.14%,57680,1.83%,1x80x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.1/act/Sigmoid,Sigmoid,1024000,0.02%,128000,0.05%,0,0.00%,1x80x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.1/act/Mul,Mul,32000,0.00%,128000,0.05%,0,0.00%,1x80x20x20,1x80x20x20
/model.22/cv3.2/cv3.2.2/Conv,Conv,2592000,0.05%,153920,0.06%,6480,0.21%,1x80x20x20,1x80x20x20
/model.22/Concat_2,Concat,0,0.00%,230400,0.09%,0,0.00%,1x64x20x20,1x144x20x20
/model.22/Constant,Constant,0,0.00%,0,0.00%,0,0.00%,0,3
/model.22/Constant_1,Constant,0,0.00%,0,0.00%,0,0.00%,0,3
/model.22/Constant_2,Constant,0,0.00%,0,0.00%,0,0.00%,0,3
/model.22/Reshape,Reshape,0,0.00%,3686400,1.41%,0,0.00%,1x144x80x80,1x144x6400
/model.22/Reshape_1,Reshape,0,0.00%,921600,0.35%,0,0.00%,1x144x40x40,1x144x1600
/model.22/Reshape_2,Reshape,0,0.00%,230400,0.09%,0,0.00%,1x144x20x20,1x144x400
/model.22/Concat_3,Concat,0,0.00%,4838400,1.85%,0,0.00%,1x144x6400,1x144x8400
Constant_247,Constant,0,0.00%,0,0.00%,0,0.00%,0,2
/model.22/Split,Split,0,0.00%,4838400,1.85%,0,0.00%,1x144x8400,1x64x8400
